Order,Placing,Name,R1-P,R1-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,
62,62nd,Danny Cruse,10,8-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,8-05,62nd,8-05
63,63rd,Nigel Knights,10,7-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,7-15,63rd,7-15
64,64th,Andy King,10,7-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,7-04,64th,7-04
65,65th,Roly Leftley,10,7-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,7-00,65th,7-00
66,66th,Mark Franklin,10,6-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,6-12,66th,6-12
67,67th,Andy Ison,10,6-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,6-10,67th,6-10
68,68th,Richard Jacobs,10,6-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,6-09,68th,6-09
69,69th,Andy Clarke,10,6-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,6-02,69th,6-02
70,70th,Peter Benge,10,4-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,4-15,70th,4-15
71,71st,Andy Harvey,10,1-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,1-07,71st,1-07
